Index;date;Taux
I01415Y Index;24/02/2020;0.061
I01420Y Index;24/02/2020;0.311
I01404Y Index;24/02/2020;-0.598
I01405Y Index;24/02/2020;-0.529
I01430Y Index;24/02/2020;0.56
I01406Y Index;24/02/2020;-0.47
I01403M Index;25/02/2020;-0.591
I01407Y Index;25/02/2020;-0.423
I01408Y Index;25/02/2020;-0.37
I01406M Index;25/02/2020;-0.604
I01409Y Index;25/02/2020;-0.3
I01401Y Index;25/02/2020;-0.608
I01402Y Index;25/02/2020;-0.668
I01410Y Index;25/02/2020;-0.229
I01403Y Index;25/02/2020;-0.644
I01415Y Index;25/02/2020;0.045
I01420Y Index;25/02/2020;0.292
I01404Y Index;25/02/2020;-0.612
I01405Y Index;25/02/2020;-0.541
I01430Y Index;25/02/2020;0.535
I01406Y Index;25/02/2020;-0.481
I01403M Index;26/02/2020;-0.6
I01407Y Index;26/02/2020;-0.413
I01408Y Index;26/02/2020;-0.358
I01406M Index;26/02/2020;-0.607
I01409Y Index;26/02/2020;-0.286
I01401Y Index;26/02/2020;-0.618
I01402Y Index;26/02/2020;-0.67
I01410Y Index;26/02/2020;-0.212
I01403Y Index;26/02/2020;-0.643
I01415Y Index;26/02/2020;0.068
I01420Y Index;26/02/2020;0.32
I01404Y Index;26/02/2020;-0.607
I01405Y Index;26/02/2020;-0.536
I01430Y Index;26/02/2020;0.568
I01406Y Index;26/02/2020;-0.472
I01403M Index;27/02/2020;-0.601
I01407Y Index;27/02/2020;-0.434
I01408Y Index;27/02/2020;-0.384
I01406M Index;27/02/2020;-0.614
I01409Y Index;27/02/2020;-0.313
I01401Y Index;27/02/2020;-0.636
I01402Y Index;27/02/2020;-0.687
I01410Y Index;27/02/2020;-0.239
I01403Y Index;27/02/2020;-0.659
I01415Y Index;27/02/2020;0.039
I01420Y Index;27/02/2020;0.292
I01404Y Index;27/02/2020;-0.621
I01405Y Index;27/02/2020;-0.554
I01430Y Index;27/02/2020;0.542
I01406Y Index;27/02/2020;-0.491
I01403M Index;28/02/2020;-0.616
I01407Y Index;28/02/2020;-0.461
I01408Y Index;28/02/2020;-0.412
I01406M Index;28/02/2020;-0.627
I01409Y Index;28/02/2020;-0.343
I01401Y Index;28/02/2020;-0.641
I01402Y Index;28/02/2020;-0.692
I01410Y Index;28/02/2020;-0.272
I01403Y Index;28/02/2020;-0.686
I01415Y Index;28/02/2020;-0.01
I01420Y Index;28/02/2020;0.236
I01404Y Index;28/02/2020;-0.661
I01405Y Index;28/02/2020;-0.581
I01430Y Index;28/02/2020;0.484
I01406Y Index;28/02/2020;-0.524
I01403M Index;02/03/2020;-0.641
I01407Y Index;02/03/2020;-0.479
I01408Y Index;02/03/2020;-0.424
I01406M Index;02/03/2020;-0.647
I01409Y Index;02/03/2020;-0.355
I01401Y Index;02/03/2020;-0.687
I01402Y Index;02/03/2020;-0.749
I01410Y Index;02/03/2020;-0.282
I01403Y Index;02/03/2020;-0.729
I01415Y Index;02/03/2020;-0.02
I01420Y Index;02/03/2020;0.221
I01404Y Index;02/03/2020;-0.685
I01405Y Index;02/03/2020;-0.607
I01430Y Index;02/03/2020;0.464
I01406Y Index;02/03/2020;-0.544
I01403M Index;03/03/2020;-0.655
I01407Y Index;03/03/2020;-0.502
I01408Y Index;03/03/2020;-0.448
I01406M Index;03/03/2020;-0.663
I01409Y Index;03/03/2020;-0.38
I01401Y Index;03/03/2020;-0.686
I01402Y Index;03/03/2020;-0.756
I01410Y Index;03/03/2020;-0.306
I01403Y Index;03/03/2020;-0.749
I01415Y Index;03/03/2020;-0.043
I01420Y Index;03/03/2020;0.196
I01404Y Index;03/03/2020;-0.707
I01405Y Index;03/03/2020;-0.631
I01430Y Index;03/03/2020;0.44
